finess_et;finess_ej;siret;nom;adresse;code_postal;ville;departement;statut_juridique;prix_chambre_simple_jour;cotation_has;nb_red_flags;alerte_gouvernance;contentieux_judiciaire;source_finess;source_cnsa;source_has;source_alimconfiance;url_fiche_seniorvigil
920027463;920810470;52777467300018;EHPAD RESIDENCE LA VILLA DES SOURCES;23 R DE VERSAILLES;92410;VILLE D AVRAY;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-villa-des-sources-92/
920028560;940020001;43997564000343;EHPAD RESIDENCE LANMODEZ;58 AV SAINTE MARIE;94160;ST MANDE;94;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-lanmodez-94/
920030186;920810942;81779709500566;EHPAD RESIDENCE LANNELONGUE;31 R DIDEROT;92170;VANVES;92;Non renseigné;90.0;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-lannelongue-92/
920001294;920710423;26920147100019;EHPAD RESIDENCE LARMEROUX;2 R ARISTIDE BRIAND;92170;VANVES;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-larmeroux-92/
920030186;930815410;81779709500582;EHPAD RESIDENCE LAURE ETENEAU;3 R DE PARIS;93800;EPINAY SUR SEINE;93;Non renseigné;90.0;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-laure-eteneau-93/
920039773;950801977;34918573600163;EHPAD RESIDENCE LE BOISQUILLON;21 R D ANDILLY;95230;SOISY SOUS MONTMORENCY;95;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-le-boisquillon-95/
770815298;770815306;38277714200011;EHPAD RESIDENCE LE CHATEAU;5 R DE PROVINS;77148;SALINS;77;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-le-chateau-77/
780020715;920710704;;EHPAD RESIDENCE LE CHATELET;3 R DU BEL AIR;92190;MEUDON;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-le-chatelet-92/
330050899;910800465;;EHPAD RESIDENCE LE CLOS FLEURI;ALL DU CLOS FLEURI;91210;DRAVEIL;91;Non renseigné;101.0;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-le-clos-fleuri-91/
950001602;950807602;52784372600011;EHPAD RESIDENCE LE GRAND CLOS;3 R GABRIEL PERI;95130;LE PLESSIS BOUCHARD;95;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-le-grand-clos-95/
920039914;920006863;45111438300081;EHPAD RESIDENCE LE JARDIN DE LEVALLOIS;97 R PAUL VAILLANT COUTURIER;92300;LEVALLOIS PERRET;92;Non renseigné;;A;2;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-le-jardin-de-levallois-92/
330050899;950014589;;EHPAD RESIDENCE LE MESNIL;41 R LEON GIRAUDEAU;95570;BOUFFEMONT;95;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-le-mesnil-95/
920001278;920710381;26920011900031;EHPAD RESIDENCE LE PARC;1 R SCARRON;92260;FONTENAY AUX ROSES;92;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-le-parc-92/
920039773;940801285;34918573600049;EHPAD RESIDENCE LE PARC;2 R DE LA LIBERATION;94440;SANTENY;94;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-le-parc-94/
920030152;920812088;40125156601897;EHPAD RESIDENCE LE SEQUOIA;110 AV DIVISION LECLERC;92290;CHATENAY MALABRY;92;Non renseigné;85.0;A;0;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-le-sequoia-92/
940019466;940813116;38948474200017;EHPAD RESIDENCE LE TEMPS DES ROSES;89 R JEAN JAURES;94700;MAISONS ALFORT;94;Non renseigné;115.0;C;2;Non;Non;Oui;Oui;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-le-temps-des-roses-94/
780018685;780802021;49399405700013;EHPAD RESIDENCE LE TILLEUL;23 AV DE POISSY;78570;CHANTELOUP LES VIGNES;78;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-le-tilleul-78/
